Postnummer,Poststedsnavn,Kategori,Primærkommunenummer,Primærkommunenavn,Primærfylkenummer,Primærfylke,X_gateadresser,Y_gateadresser,X_postbokser,Y_postbokser,Latitude_gateadresser,Longitude_gateadresser,Latitude_postbokser,Longitude_postbokser
4903,TVEDESTRAND,G,4213,TVEDESTRAND,42,AGDER,6516915,147936,,,58.6489341587213,8.92847641560358,,
4904,TVEDESTRAND,G,4213,TVEDESTRAND,42,AGDER,6511887,149908,,,58.6056224944831,8.97003731746526,,
4905,TVEDESTRAND,G,4213,TVEDESTRAND,42,AGDER,6510036,147768,,,58.5873627389599,8.93628712531775,,
4909,SONGE,G,4213,TVEDESTRAND,42,AGDER,6520569,152692,,,58.6854042412918,9.00435819826492,,
4910,LYNGØR,B,4213,TVEDESTRAND,42,AGDER,6514380,159529,6514222,147649,58.6355382986813,9.13098870394098,58.624650851268,8.92775031112067
4912,GJEVING,G,4213,TVEDESTRAND,42,AGDER,6516227,158964,,,58.6515957337491,9.118524530072,,
4915,VESTRE SANDØYA,G,4213,TVEDESTRAND,42,AGDER,6509275,153669,,,58.5853034278514,9.03839527689821,,
4916,BORØY,G,4213,TVEDESTRAND,42,AGDER,6509205,152313,,,58.5835966036163,9.01530705235636,,
4920,STAUBØ,G,4203,ARENDAL,42,AGDER,6505801,149487,,,58.5509262634513,8.97221781999388,,
4921,STAUBØ,P,4203,ARENDAL,42,AGDER,,,6505790,149498,,,58.5508368662396,8.97242271445821
4934,NES VERK,G,4213,TVEDESTRAND,42,AGDER,6514845,143585,,,58.6268987877922,8.85719403420669,,
4950,RISØR,G,4201,RISØR,42,AGDER,6523307,166323,,,58.720582765166,9.23421822573668,,
4951,RISØR,P,4201,RISØR,42,AGDER,,,6523200,165858,,,58.7192678587593,9.22638907058478
